hemi	index	name	color
lh	1	thal-lh-pulvinar	#ff0000
lh	2	thal-lh-ventral-anterior	#00ff00
lh	3	thal-lh-mediodorsal	#ffff00
lh	4	thal-lh-lateral-posterior-ventral-posterior-group	#ff7b00
lh	5	thal-lh-pulvinar-medial-centrolateral-group	#00ffff
lh	6	thal-lh-ventrolateral	#ff00ff
lh	7	thal-lh-ventral-posterior-ventrolateral-group	#0000ff
rh	8	thal-rh-pulvinar	#ff0000
rh	9	thal-rh-ventral-anterior	#00ff00
rh	10	thal-rh-mediodorsal	#ffff00
rh	11	thal-rh-lateral-posterior-ventral-posterior-group	#ff7b00
rh	12	thal-rh-pulvinar-medial-centrolateral-group	#00ffff
rh	13	thal-rh-ventrolateral	#ff00ff
rh	14	thal-rh-ventral-posterior-ventrolateral-group	#0000ff
